CATEGORY,SUBCATEGORY,AGE,TIMEALLOWED,REGION,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,HINT,CORRECTANSWER,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,"In which year did Sting release 'Fields of Gold', the same year Unforgiven won the Academy Award for Best Picture?",1985,1994,1993,1987,(NULL),C,storage/questions/images/sUjh71626110143161.jpg,,,1,27,0,,1,1
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",30,United Kingdom,The first Harry Potter film "The Philosopher's Stone" was released in what year?,2002,2004,2003,2001,(NULL),D,,,,0,361,0,(NULL),1,0
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,"In 1985, who became the first popular Western music act to perform in China?",The Cure,Simon and Garfunkel,Scorpions,Wham!,,D,storage/questions/images/ngnCN1626109954198.jpg,,,1,922,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,Who sang "I want my MTV" on the Dire Straits song 'Money For Nothing'?,Sting,David Knopfler,Mark Knopfler,Elvis Costello,,A,storage/questions/images/J7rVk1626109564510.jpg,,,1,979,0,,1,1
"TV, FILM AND BOOKS",NONE,ADULT,30,United Kingdom,Who starred as Cole Porter In The 1945 film Night & Day?,Gregory Peck,Rock Hudson,Cary Grant,Henry Fonda,(NULL),C,,,,0,985,0,(NULL),1,0
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,"Which music festival was attended by over 400,000 people in 1969?",Woodstock,Glastonbury,Isle of Wight,Reading,(NULL),A,,,,0,1031,0,(NULL),1,0
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,What group was Ringo Starr with just prior to the Beatles?,Eddie Clayton Skiffle Group,The Searchers,The Merseybeats,Rory Storm and the Hurricanes,,D,storage/questions/images/fSFJQ1626109373712.jpg,,,1,1043,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,Which band released the album 'Strange brew '?,Led Zeppelin,The Who,The Yardbirds,Cream,(NULL),D,,,,0,1111,0,(NULL),1,0
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN,ADULT",40,United Kingdom,Who directed the first two Harry Potter movies?,Mike Newell,David Yates,Chris Columbus,Alfonso Cuaron,(NULL),C,,,,0,1132,0,(NULL),1,0
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,"Who sang guest vocals on Carly Simon's 1972 single, 'You're So Vain'?",James Taylor,Mick Jagger,Rod Stewart,Robert Plant,,B,storage/questions/images/VvTEK1626109237943.jpg,,,1,1160,0,,1,1
"TV, FILM AND BOOKS",NONE,JUNIOR,30,United Kingdom,What type of animal is Bullseye in the 'Toy Story' films?,Pig,Horse,Sheep,Dog,(NULL),B,,,,0,1230,0,(NULL),1,0
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,Name this band who asked if we'd ever seen the rain in 1971?,Creedence Clearwater Revival,The Golliwogs,The Doors,The Hollies,,A,storage/questions/images/OcOq51626108916032.jpg,,,1,1257,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,All but which of the following were hits from this American disco group?,Rasputin,In the Navy,Y.M.C.A.,Go West," Rasputin was a song by Boney M, not Village People!",A,storage/questions/images/M912K1626108680301.jpg,,,1,1274,0,,1,1
"TV, FILM AND BOOKS",NONE,ADULT,30,United Kingdom,Which film won the oscar for "Best Visual Effects" back in 1984?,Back to the Future,Indiana Jones (Temple Of Doom),Blade Runner,Ghostbusters,(NULL),B,storage/questions/images/33pmN1607612791990.jpg,,,1,1307,0,(NULL),1,0
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,Who wrote the music to West Side Story?,Andrew Lloyd Webber,Leonard Bernstein,Bock & Harnick,Rodgers & Hammerstein,(NULL),B,storage/questions/images/Wtjfi1626108256344.jpg,,,1,1313,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,"Prior to his music career, Sting held all but which of the following professional roles?",Tax officer,Teacher,Sous-chef,Bus conductor,"  After working as a bus conductor, building labourer and tax officer, Sting attended the Northern Counties College of Education from 1971 to 1974 and qualified as a teacher!   ",C,storage/questions/images/xm3bi1626108001470.jpg,,,1,1352,0,,1,1
SOUND AND MUSIC,NONE,"TEEN,ADULT",30,United Kingdom,"""Radio Gaga"" was a 1984 hit for which band?",The Who,Dire Straits,Queen,The Police,(NULL),C,,,,0,1364,0,(NULL),1,0
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,All but which of the following were hits from The Communards?,Don’t Leave Me This Way,So Cold the Night,Never Can Say Goodbye,You Make Me Feel (Mighty Real),You Make Me Feel (Mighty Real) was by released by Jimmy Somerville as a solo hit!,D,storage/questions/images/5oJtI1626107807479.jpg,,,1,1416,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,What was this Cuban-American singer's first solo song?,Rhythm Is Gonna Get You,Anything for You,Don't Wanna Lose You, 1-2-3, 'Don't Wanna Lose You' was released as the first single on Gloria Estefan's first solo album 'Cuts Both Ways'. ,C,storage/questions/images/KaCQD1626107420662.jpg,,,1,1417,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,"Which 80s group, pictured here, were 'dancing with tears in their eyes' in 1984?",Level 42,Dexys Midnight Runners,Johnny Hates Jazz,Ultravox,,D,storage/questions/images/CQPiq1626107059437.jpg,,,1,1423,0,,1,1
"TV, FILM AND BOOKS",NONE,ADULT,30,United Kingdom,'What's the bloody point?' are the final words of whose diaries?,Kenneth Williams,Leonard Rossiter,Sid James,Eric Sykes,(NULL),A,,,,0,1811,0,(NULL),1,0
"TV, FILM AND BOOKS",NONE,ADULT,30,United Kingdom,Who pulled a watch out of his waistcoat to discover he was late?,The White Rabbit,The Mad Hatter,The King of Hearts,The Cheshire Cat,(NULL),A,,,,0,1813,0,(NULL),1,0
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN,ADULT",30,United Kingdom,"JK Rowling wrote seven Harry Potter books, but, how many movies were released?",7,8,9,6,(NULL),B,,,,0,1847,0,(NULL),1,0
QUICK THINKING,NONE,"TEEN,ADULT",25,United Kingdom,How many dots are there in total on 3 standard dice?,62,64,63,65,The correct answer has to be divisible by 3 and 63 is the only number divisible by 3!,C,storage/questions/images/L4e1T1590324296471.jpg,,,1,1906,0,,1,1
