CATEGORY,SUBCATEGORY,AGE,TIMEALLOWED,REGION,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,HINT,CORRECTANSWER,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
BACK TO SCHOOL,NONE,"1,2",20,4,What is this side of a triangle known as in trigonometry?,The opposite,The angle,The adjacent,The hypotenuse,,D,storage/questions/images/6JyUo1590241065285.jpg,,,1,1935,0,,1,1
BACK TO SCHOOL,NONE,"2,3",25,4,Who designed this statue?,Gustave Eiffel,Frederic Auguste Bartholdi,Edouard Rene de Laboulaye,Francois Coignet,(NULL),B,storage/questions/images/5ZeZ61590249704693.jpg,,,1,2329,0,,1,1
BACK TO SCHOOL,NONE,3,30,4,Where would you find the bowman's capsule?,Brain,Lung,Kidney,Liver,(NULL),C,storage/questions/images/OsDJF1622973976560.jpg,,,1,20217,0,,1,1
BACK TO SCHOOL,NONE,"1,2,3",30,4,In what year was the great fire of London?,1444,1666,1555,1777,(NULL),B,storage/questions/images/x5Oad1622973698253.jpg,,,1,20221,0,,1,1
BACK TO SCHOOL,NONE,"1,2,3",30,4,Who discovered Penicillin?,James Watson,Marie Curie,Alexander Fleming,Antoni Van Leeuwenhoek,(NULL),C,storage/questions/images/XOmGV1622973542811.jpg,,,1,20224,0,,1,1
BACK TO SCHOOL,NONE,"1,2,3",30,4,What is the capital of Canada?,Montreal,Ottawa,Vancouver,Toronto,(NULL),B,storage/questions/images/SYtR01622973145878.jpg,,,1,20236,0,,1,1
BACK TO SCHOOL,NONE,"2,3",30,4,The Black Death took place in which century?,12th,14th,11th,13th,(NULL),B,storage/questions/images/ZWZCl1622972863155.jpg,,,1,20239,0,,1,1
BACK TO SCHOOL,NONE,1,30,4,What is the capital of the USA?,San Francisco,New York,Washington D.C.,Los Angeles,,C,storage/questions/images/oCbV61622972250660.jpg,,,1,20241,0,,1,1
BACK TO SCHOOL,NONE,"2,3",30,4,The marabou is a member of which species of birds?,Cranes,Storks,Vultures,Geese,,B,,storage/questions/videos/Mi6Ri1588883981286.mp4,,3,20464,0,,1,1
BACK TO SCHOOL,NONE,1,30,4,Which type of triangle is this?,Left-angled,Right-angled,Isosceles,Scalene,(NULL),B,storage/questions/images/QC002278.jpg,,,1,28939,0,,1,1
BACK TO SCHOOL,NONE,3,45,4,The sacred shrine of the Dome of the Rock is in which city?,Jerusalem,Damascus,Beirut,Istanbul,(NULL),A,storage/questions/images/QOC54007.jpg,,,1,38267,0,,1,0
BACK TO SCHOOL,NONE,3,30,4,What is the best definition of the word above?,Random,Disorderly,Fast,Threatening,(NULL),B,storage/questions/images/m3LOB1610641658588.jpg,,,1,38374,0,,1,0
BACK TO SCHOOL,NONE,3,30,4,What is the capital city of Hungary?,Bucharest,Zagreb,Sofia,Budapest,(NULL),D,,,,0,38505,1,,1,0
BACK TO SCHOOL,NONE,3,30,4,What is the chemical symbol for Mercury?,Me,Mg,Hg,W,(NULL),C,,,,0,38509,1,,1,0
BACK TO SCHOOL,NONE,3,30,4,In which modern day country was Archduke Franz Ferdinand assassinated on 28 June 1914?,Bosnia Herzegovina,Croatia,Serbia,North Macedonia,(NULL),A,,,,0,38513,1,,1,0
BACK TO SCHOOL,NONE,3,30,4,What is the highest prime number under 100?,89,97,93,83,(NULL),B,,,,0,38514,1,,1,0
BACK TO SCHOOL,NONE,"2,3",30,4,What is the more scientific name for quicksilver?,Mercury,Platinum,Nickel,Silver plate,(NULL),A,,,,0,38563,1,,1,0
