CATEGORY,SUBCATEGORY,AGE,REGION,TIMEALLOWED,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECTANSWER,HINT,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What duo were pegged by critics as music's ""Manson and Starkweather,"" known for ""black turtlenecks"" and a pallor ""like yogurt?""",Steely Dan,The Pet Shop Boys,Sonny and Cher,Captain and Tennille,A,,1-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"On the cover of The Who Sell Out, what else is in the bathtub with Roger Daltry? Hint: its also the second track.",Pinballs,Accordions,Spiders,Heinz Baked Beans`,D,,2-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Toni Tennille didnt always sing with a Captain. Who has she not recorded backing vocals for?,The Beach Boys,Pink Floyd,Elton John,All of the Above,D,,3-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,"ADULT,TEEN","2,3,4,1,21",30,"What band is fronted by Mick Hucknall? If you don't know them by now, they're named for his hair.",King Crimson,Simply Red,Wild Cherry,Red Rider,B,,4-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What frontman had a personality crisis and recorded Hot Hot Hot as alter ego Buster Poindexter?,Mike Patton of Faith No More,Alice Cooper,Robert Smith of The Cure,David Johansen of New York Dolls,D,,5-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Which Neil Young album is home to Old Man and Heart of Gold?,After the Gold Rush,Tonight's The Night,Harvest,Harvest Moon,C,,6-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What's unique about notorious '70s couple Sam and Suzy?,They're bank robbers,They're sailors,They're having an affair,They're muskrats,D,,7-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Which singer, who had a posthumous hit with a Volkswagen ad, was never captured on video?",Nick Drake,Syd Barrett,Eddie Cochran,Patsy Cline,A,,8-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What song was promoted with a personals ad containing its first line and a phone number?,Save A Prayer - Duran Duran,Don't Stop Believin' - Journey,Personal Jesus - Depeche Mode,The Pina Colada Song - Rupert Holmes,C,,9-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Whose experimental (and very kool) distorted sound came from cheap guitars that couldnt stay in tune?,Sonic Youth,The Pixies,Husker Du,Deep Purple,A,,10-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What do The Cure, The Fall, and Jethro Tull have in common?",Feature the flute,Singer is the only constant member,Not known outside of Britain,No longer touring,B,,11-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"While producing Lou Reeds Transformer, who did David Bowie get to play sax on Walk on the Wild Side?",His first music teacher,Clarence Clemons,Iman,John Coltrane,A,,12-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"In 1967, who became the first act to record a song with a synthesizer part?",Kraftwerk,The Monkees,Mike Oldfield,Genesis,B,,13-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What was Kraftwerks top-secret recording studio called?,Kling Klang,Big Bang,Metalworks,Celestica,A,,14-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What song was sadly never played at Madchester hotspot The Hacienda (even though the club was partly owned by the band)?,Blue Monday - New Order,Voodoo Ray - A Guy Called Gerald,You Got The Love - The Source,24 Hour Party People - Happy Mondays,A,,15-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
