CATEGORY,SUBCATEGORY,AGE,REGION,TIMEALLOWED,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,HINT,CORRECTANSWER,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,creditBy,status,questionState,questionMasterId
MOVIE MUSIC,none,ADULT,Nederland,35,Welk duo nam de instructeur Jester aan tijdens een oefening in de Top Gun 'Might Wings' scene?,Maverick en Iceman,Viper en Merlin,Maverick en Goose,Viper en Iceman,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/MdC491636910904674.mp3,2,,0,0,146575
MOVIE MUSIC,none,ADULT,Nederland,35,Welk fictief koppel speelde in een blockbuster waarvan dit de film track is?,Jack en Rose,Sandy en Danny,Harry en Sally,Vivian en Edward,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/so6lN1636924039490.mp3,2,,0,0,146601
MOVIE MUSIC,none,ADULT,Nederland,35,In welke film wordt deze song live ten gehore gebracht door Wilson Phillips?,Wedding Crashers,The Wedding Planner,Made of Honor,Bridesmaids,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/BpIpP1637026308721.mp3,2,,0,0,146791
MOVIE MUSIC,none,ADULT,Nederland,35,In welke 90s feel-good film hoorden we deze Tom Petty classic?,Almost Famous,Jerry Maguire,As Good as it Gets,Pitch Perfect,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/y7gYC1637092453599.mp3,2,,0,0,146838
MOVIE MUSIC,none,ADULT,Nederland,35,"Van welke nationaliteit is het karakter van Olivia Olson, de zangeres van dit Mariah Carey lied in de klassieke romantische comedy Love Actually?",Amerikaanse,Engelse,Zweedse,Canadese,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/Z0H711637799399471.mp3,2,,0,0,159081
MOVIE MUSIC,none,ADULT,Nederland,35,Hoeveel electriciteit uit een nucleaire reactie heeft Dr. Emmett Brown nodig voor zijn tijd machine?,1.51 Gigawatt,1.21 Gigawatt,1.69 Gigawatt,1.17 Gigawatt,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/75FNr1637799260222.mp3,2,,0,0,159087
MOVIE MUSIC,none,ADULT,Nederland,35,Uit welke klassieke musical komt het origineel van dit Ariana Grande nummer?,Chitty Chitty Bang Bang,Annie,Sound of Music,Mary Poppins,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/F0gBY1637799133522.mp3,2,,0,0,159091
MOVIE MUSIC,none,ADULT,Nederland,35,In welk deel van het lichaam van zijn date is Eddie Murphy het meest geinteresseerd in de romantische comedy uit 1992 genaamd Boomerang?,Handen,Ogen,Haar,Voeten,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/4T2z71637799050512.mp3,2,,0,0,159095
MOVIE MUSIC,none,ADULT,Nederland,35,Wie speelde Leonardo DiCaprio's geliefde in de film met deze Cardigan track?,Claire Danes,Kate Winslet,Cate Blanchett,Carey Mulligan,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/UOzKb1637798928397.mp3,2,,0,0,159099
MOVIE MUSIC,none,ADULT,Nederland,35,Wat doet Daniel LaRusso in de scene waarin deze Bananarama song wordt gespeeld?,Karate,Voetbal,Volleybal,Judo,Daniel LaRusso speelt balletje hoog houden in deze scene van de film Karate Kid,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/Zdfw11637798807387.mp3,2,,0,0,159103
MOVIE MUSIC,none,ADULT,Nederland,30,Voor welke tegenstander traint Rocky tijdens de song 'Burning Hearts'?,Clubber Lang,Apollo Creed,Ivan Drago,Tommy Gun,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/LMHsk1637798420001.mp3,2,,0,0,159109
MOVIE MUSIC,none,ADULT,Nederland,30,Wie was geen Ghostbuster?,Peter Venkman,Winston Zeddemore,Egon Spengler,Ruben Stantz,Het was Raymond 'Ray' Stantz!,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/wNKdz1637797943418.mp3,2,,0,0,159113
MOVIE MUSIC,none,ADULT,Nederland,35,In welke 90s basketbal film zit deze 'Warren G' single?,Above the Rim,Juice,The Basketball Diaries,He Got Game,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/eRl971637797655902.mp3,2,,0,0,159117
MOVIE MUSIC,none,ADULT,Nederland,35,"Uit welke film van 2003 gebaseerd op een Marvel Comics superhero, komt dit Evanescence nummer?",Thor,Daredevil,Iron Man,Deadpool,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/Wj4Be1637797447957.mp3,2,,0,0,159121
MOVIE MUSIC,none,ADULT,Nederland,35,Welke rol speelt Julia Roberts in de film met dit nummer van Roxette?,Erin Brockovich,Anna Scott,Vivian Ward,Elizabeth Gilbert,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/7f4Fj1637796968129.mp3,2,,0,0,159125
MOVIE MUSIC,none,ADULT,Nederland,35,"In welke film speelde Aaliyah de rol van Trish O'Day, waarin zij eveneens haar hit 'Try Again' vertolkte?",The Bodyguard,Cradle 2 The Grave,Rush Hour,Romeo Must Die,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/TgLws1637796547636.mp3,2,,0,0,159129
MOVIE MUSIC,none,ADULT,Nederland,35,Wie offert zijn leven op om de planeet Aarde te redden?,Bruce Willis,Randy Quaid,Steve Buscemi,Ben Affleck,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/9EHlS1637796336619.mp3,2,,0,0,159133
MOVIE MUSIC,none,ADULT,Nederland,35,Wie zingt dit lied in The Catalina Wine Mixer met Will Ferrell?,Paul Rudd,John C. Reilly,Seth Rogan,Vince Vaughn,Uit de film Old School!,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/x1pyO1637795850947.mp3,2,,0,0,159137
MOVIE MUSIC,none,ADULT,Nederland,35,Noem de film!,My Fair Lady,The Carpetbaggers,Breakfast at Tiffanys,Ship of Fools,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/qmkTa1637795409066.mp3,2,,0,0,159141
MOVIE MUSIC,none,ADULT,Nederland,35,Wie is geen fictieve detective in deze iconische 80s film?,Billy Rosewood,John Taggart,Axel Foley,Reggie Hammond,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/CVvTh1637795249070.mp3,2,,0,0,159145
MOVIE MUSIC,none,ADULT,Nederland,35,Welke actrice gaat terug in haar herinnering tijdens dit Bruce Springsteen nummer?,Rachel McAdams,Meg Ryan,Renee Zellweger,Sandra Bullock,Uit de film Jerry Maguire!,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/s5sQF1637794993116.mp3,2,,0,0,159149
MOVIE MUSIC,none,ADULT,Nederland,35,"In welke Robin Hood film werd deze Bryan Adams hit, die 11 weken op nummer 1 stond in de nederlandse top 40, gespeeld?",Prince of Thieves,Prince of Sherwood,Men in Tights,Sword of Sherwood Forest,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/ADTqT1637794667862.mp3,2,,0,0,159153
MOVIE MUSIC,none,ADULT,Nederland,35,In welke bar/restaurant dansen Vincent Vega en Mia Wallace op dit lied?,The Raven,Jack Rabbit Slims,The Hawthorne Grille,Inglewood Strip Club,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/DEaUo1637794163280.mp3,2,,0,0,159157
MOVIE MUSIC,none,ADULT,Nederland,20,Uit welke Michelle Pfeiffer film komt deze Coolio track?,Dangerous Liaisons,Dangerous Ground,Dangerous Minds,Dangerous Games,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/TSHGs1637793697681.mp3,2,,0,0,159161
MOVIE MUSIC,none,ADULT,Nederland,35,Noem de film!,8 Mile,Straight Outta Compton,Lose Yourself,Get Rich or Die Tryin',,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/G5zAi1637793025985.mp3,2,,0,0,159165
MOVIE MUSIC,none,ADULT,Nederland,35,Wie zong en produceerde deze 'Dirty Dancing' song?,Donald Markowitz,Bill Medley,Patrick Swayze,Eric Carmen,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/rWKID1637792717554.mp3,2,,0,0,159169
MOVIE MUSIC,none,ADULT,Nederland,35,Fire Saga's nummer 'Double Trouble' was het fictieve 'Eurovisie' song festival lied voor welk land?,IJsland,Griekenland,Kroatie,Zweden,Uit de film Eurovision met Will Ferrell en Rachel McAdams,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/9Bu1K1637792294673.mp3,2,,0,0,159173
MOVIE MUSIC,none,ADULT,Nederland,35,"Wie speelt geen rol in de Adam Sandler golf comedy, met dit lied?",Bob Barker,Ned Ryerson,Chubbs Peterson,Shooter McGavin,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/IWuP11637792037181.mp3,2,,0,0,159179
