CATEGORY,SUBCATEGORY,AGE,TIMEALLOWED,REGION,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,HINT,CORRECTANSWER,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
PUB QUIZ,NONE,ADULT,30,English (Other - Non UK / US),"Boris Becker reached the Wimbledon final seven times, how many did he win?",4,2,3,5,(NULL),C,storage/questions/images/wUh4L1585332657343.jpg,,,1,9,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,English (Other - Non UK / US),"In which year did Sting release 'Fields of Gold', the same year Unforgiven won the Academy Award for Best Picture?",1985,1994,1993,1987,(NULL),C,storage/questions/images/sUjh71626110143161.jpg,,,1,27,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,English (Other - Non UK / US),"In 1985, who became the first popular Western music act to perform in China?",The Cure,Simon and Garfunkel,Scorpions,Wham!,,D,storage/questions/images/ngnCN1626109954198.jpg,,,1,922,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,English (Other - Non UK / US),Who sang "I want my MTV" on the Dire Straits song 'Money For Nothing'?,Sting,David Knopfler,Mark Knopfler,Elvis Costello,,A,storage/questions/images/J7rVk1626109564510.jpg,,,1,979,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,English (Other - Non UK / US),What group was Ringo Starr with just prior to the Beatles?,Eddie Clayton Skiffle Group,The Searchers,The Merseybeats,Rory Storm and the Hurricanes,,D,storage/questions/images/fSFJQ1626109373712.jpg,,,1,1043,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,English (Other - Non UK / US),"Who sang guest vocals on Carly Simon's 1972 single, 'You're So Vain'?",James Taylor,Mick Jagger,Rod Stewart,Robert Plant,,B,storage/questions/images/VvTEK1626109237943.jpg,,,1,1160,0,,1,1
PUB QUIZ,NONE,"JUNIOR,TEEN,ADULT",30,English (Other - Non UK / US),What colour is a giraffe's tongue?,Yellow,Blue,Red,Brown,(NULL),B,storage/questions/images/Giraffe.jpg,,,1,1233,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,English (Other - Non UK / US),Name this band who asked if we'd ever seen the rain in 1971?,Creedence Clearwater Revival,The Golliwogs,The Doors,The Hollies,,A,storage/questions/images/OcOq51626108916032.jpg,,,1,1257,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,English (Other - Non UK / US),Who wrote the music to West Side Story?,Andrew Lloyd Webber,Leonard Bernstein,Bock & Harnick,Rodgers & Hammerstein,(NULL),B,storage/questions/images/Wtjfi1626108256344.jpg,,,1,1313,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,English (Other - Non UK / US),"Prior to his music career, Sting held all but which of the following professional roles?",Tax officer,Teacher,Sous-chef,Bus conductor,"After working as a bus conductor, building labourer and tax officer, Sting attended the Northern Counties College of Education from 1971 to 1974 and qualified as a teacher!",C,storage/questions/images/xm3bi1626108001470.jpg,,,1,1352,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,English (Other - Non UK / US),What was this Cuban-American singer's first solo song?,Rhythm Is Gonna Get You,Anything for You,Don't Wanna Lose You,2003-01-02,'Don't Wanna Lose You' was released as the first single on Gloria Estefan's first solo album 'Cuts Both Ways'.,C,storage/questions/images/KaCQD1626107420662.jpg,,,1,1417,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,English (Other - Non UK / US),"Which 80s group, pictured here, were 'dancing with tears in their eyes' in 1984?",Level 42,Dexys Midnight Runners,Johnny Hates Jazz,Ultravox,,D,storage/questions/images/CQPiq1626107059437.jpg,,,1,1423,0,,1,1
PUB QUIZ,NONE,"JUNIOR,TEEN,ADULT",30,English (Other - Non UK / US),Which of these inventions came first?,The vacuum cleaner,The telephone,The typewriter,The radio,(NULL),C,storage/questions/images/VLjJ81590351963466.jpg,,,1,1490,0,,1,1
PUB QUIZ,NONE,"TEEN,ADULT",20,English (Other - Non UK / US),Which country's flag is this ?,North Korea,Japan,South Korea,Taiwan,,C,storage/questions/images/U3ciG1629991379610.jpg,,,4,1599,0,,1,1
PUB QUIZ,NONE,"TEEN,ADULT",20,English (Other - Non UK / US),Which nation's flag is this?,Cuba,Brazil,Bolivia,Chile,(NULL),A,storage/questions/images/l95Ga1590238269985.jpg,,,4,1601,0,,1,1
PUB QUIZ,NONE,ADULT,30,English (Other - Non UK / US),"According to classical sources, the Trojan War began after the abduction (or elopement) of which Queen?",Joan,Helen,Mary,Victoria,(NULL),B,storage/questions/images/tbaSA1585575906068.jpg,,,1,1638,0,,1,1
PUB QUIZ,NONE,"TEEN,ADULT",30,English (Other - Non UK / US),The symbol above depicts which sign of the zodiac?,Saggitarius,Gemini,Libra,Aquarius,(NULL),A,storage/questions/images/7Zwtf1590250277476.jpg,,,1,1727,0,,1,1
PUB QUIZ,NONE,"TEEN,ADULT",30,English (Other - Non UK / US),How many survivors were there when the Titanic sank?,"1,210",3030,272,706,(NULL),D,storage/questions/images/M1v3e1585576302099.jpg,,,1,1898,0,,1,1
QUICK THINKING,NONE,"TEEN,ADULT",25,English (Other - Non UK / US),How many dots are there in total on 3 standard dice?,62,64,63,65,The correct answer has to be divisible by 3 and 63 is the only number divisible by 3!,C,storage/questions/images/L4e1T1590324296471.jpg,,,1,1906,0,,1,1
BACK TO SCHOOL,NONE,"JUNIOR,TEEN",20,English (Other - Non UK / US),What is this side of a triangle known as in trigonometry?,The opposite,The angle,The adjacent,The hypotenuse,,D,storage/questions/images/6JyUo1590241065285.jpg,,,1,1935,0,,1,1
PUB QUIZ,NONE,"JUNIOR,TEEN,ADULT",30,English (Other - Non UK / US),"Despite not containing any ham, from which country did this popular food derive its name?",United States,United Kingdom,France,Germany,(NULL),D,storage/questions/images/E2BfW1629906948185.jpg,,,1,1944,0,,1,1
