CATEGORY,SUBCATEGORY,AGE,TIMEALLOWED,REGION,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,HINT,CORRECTANSWER,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
QUICK THINKING,NONE,ADULT,30,Nederland,Hoeveel zou een persoon van 85 kg wegen op de maan?,31 Kg,14 Kg,9 Kg,26 Kg,(NULL),B,,,,0,80160,0,,0,1
QUICK THINKING,NONE,TEEN,30,Nederland,Hoeveel zou een persoon van 85 kg wegen op de maan?,31 Kg,14 Kg,9 Kg,26 Kg,(NULL),B,,,,0,80161,0,,0,1
QUICK THINKING,NONE,ADULT,30,Nederland,Wat is het verschil tussen 8 in het kwadraat en 14 in het kwadraat?,132,122,142,152,(NULL),A,,,,0,80162,0,,0,1
QUICK THINKING,NONE,TEEN,30,Nederland,Wat is het verschil tussen 8 in het kwadraat en 14 in het kwadraat?,132,122,142,152,(NULL),A,,,,0,80163,0,,0,1
QUICK THINKING,NONE,ADULT,30,Nederland,Hoeveel poten hebben 14 spinnen en 23 vliegen in totaal?,246,278,260,250,(NULL),D,,,,0,80164,0,,0,1
QUICK THINKING,NONE,TEEN,30,Nederland,Hoeveel poten hebben 14 spinnen en 23 vliegen in totaal?,246,278,260,250,(NULL),D,,,,0,80165,0,,0,1
QUICK THINKING,NONE,ADULT,30,Nederland,"Welk nummer komt als volgende in de reeks: 3, 21, 15, 33,?",27,51,11,7,(NULL),A,,,,0,80166,0,,0,1
QUICK THINKING,NONE,TEEN,30,Nederland,"Welk nummer komt als volgende in de reeks: 3, 21, 15, 33,?",27,51,11,7,(NULL),A,,,,0,80167,0,,0,1
QUICK THINKING,NONE,ADULT,30,Nederland,Hoeveel partjes zitten er normaal in een sinaasappel?,12,10,8,14,(NULL),B,,,,0,80168,0,,0,1
QUICK THINKING,NONE,TEEN,30,Nederland,Hoeveel partjes zitten er normaal in een sinaasappel?,12,10,8,14,(NULL),B,,,,0,80169,0,,0,1
QUICK THINKING,NONE,ADULT,30,Nederland,Hoeveel zijden heeft een tienhoek?,12,10,8,16,(NULL),B,,,,0,80172,0,,0,1
QUICK THINKING,NONE,TEEN,30,Nederland,Hoeveel zijden heeft een tienhoek?,12,10,8,16,(NULL),B,,,,0,80173,0,,0,1
QUICK THINKING,NONE,JUNIOR,30,Nederland,Vul het ontbrekende getal in. 38.000 + ____ = 100.000,"62,000","59,000","52,000","72,000",(NULL),A,,,,0,80174,0,,0,1
QUICK THINKING,NONE,JUNIOR,30,Nederland,Vul het ontbrekende getal in. 74.000 + ____ = 100.000,"26,000","24,000","28,000","25,000",(NULL),A,,,,0,80175,0,,0,1
QUICK THINKING,NONE,JUNIOR,30,Nederland,Vul het ontbrekende getal in. 11.000 + ____ = 100.000,"89,000","88,000","90,000","79,000",(NULL),A,,,,0,80176,0,,0,1
QUICK THINKING,NONE,JUNIOR,30,Nederland,Kies het juiste teken. 135 __ 36 = 99,Min (-),Plus (+),Keer (x),Gedeeld door ( / ),(NULL),A,,,,0,80177,0,,0,1
QUICK THINKING,NONE,JUNIOR,30,Nederland,Kies het juiste teken. 15 __ 25 = 40,Min (-),Plus (+),Keer (x),Gedeeld door ( / ),(NULL),B,,,,0,80178,0,,0,1
QUICK THINKING,NONE,JUNIOR,30,Nederland,Kies het juiste teken. 180 __ 4 = 45,Min (-),Plus (+),Keer (x),Gedeeld door ( / ),(NULL),D,,,,0,80179,0,,0,1
QUICK THINKING,NONE,JUNIOR,30,Nederland,Welk oneven getal komt er na 487?,488,489,490,491,(NULL),B,,,,0,80180,0,,0,1
QUICK THINKING,NONE,JUNIOR,30,Nederland,Welk even getal komt er na 999?,1000,1001,1002,1003,(NULL),A,,,,0,80181,0,,0,1
BACK TO SCHOOL,NONE,ADULT,30,Nederland,Wat is een Hoatzin?,Vogel,Reptiel,Zoogdier,Vis,(NULL),A,,,,0,80182,0,,0,1
BACK TO SCHOOL,NONE,TEEN,30,Nederland,Wat is een Hoatzin?,Vogel,Reptiel,Zoogdier,Vis,(NULL),A,,,,0,80183,0,,0,1
PUB QUIZ,NONE,ADULT,30,Nederland,Welke van deze beschrijft iemand die gezellig is?,Een beetje een kluizenaar,Heel wijs,Houdt van gezelschap,Een dwangmatige leugenaar,(NULL),C,,,,0,80184,0,,0,1
PUB QUIZ,NONE,TEEN,30,Nederland,Welke van deze beschrijft iemand die gezellig is?,Een beetje een kluizenaar,Heel wijs,Houdt van gezelschap,Een dwangmatige leugenaar,(NULL),C,,,,0,80185,0,,0,1
PUB QUIZ,NONE,ADULT,30,Nederland,Wat wordt algemeen aanvaard als een gemiddeld IQ?,90,70,100,120,(NULL),C,,,,0,80186,0,,0,1
PUB QUIZ,NONE,TEEN,30,Nederland,Wat wordt algemeen aanvaard als een gemiddeld IQ?,90,70,100,120,(NULL),C,,,,0,80187,0,,0,1
SOUND AND MUSIC,NONE,ADULT,30,Nederland,Wiens echte naam is Annie Mae Bullock?,Martha Lee,Tammy Wynette,Gladys Knight,Tina Turner,(NULL),D,,,,0,80188,0,,0,1
SOUND AND MUSIC,NONE,ADULT,30,Nederland,In welk jaar zijn de Beach Boys ontstaan?,1965,1963,1961,1967,(NULL),C,,,,0,80189,0,,0,1
SOUND AND MUSIC,NONE,ADULT,30,Nederland,Saul Hudson is de echte naam van welke gitarist?,Slash,Eric Clapton,Brian May,Jimi Hendrix,(NULL),A,,,,0,80190,0,,0,1
QUICK THINKING,NONE,ADULT,30,Nederland,"Als je rode en groene verf mengt, welke kleur krijg je dan?",Oranje,Bruin,Paars,Geel,(NULL),B,,,,0,80191,0,,0,1
QUICK THINKING,NONE,TEEN,30,Nederland,"Als je rode en groene verf mengt, welke kleur krijg je dan?",Oranje,Bruin,Paars,Geel,(NULL),B,,,,0,80192,0,,0,1
QUICK THINKING,NONE,JUNIOR,30,Nederland,"Als je rode en groene verf mengt, welke kleur krijg je dan?",Oranje,Bruin,Paars,Geel,(NULL),B,,,,0,80193,0,,0,1
"TV, FILM AND BOOKS",NONE,ADULT,30,Nederland,Wie leverde de stem van &quot;Charlie&quot; in het tv-programma 'Charlies Angels'?,John Forsythe,Danny Devito,Robert Redford,Joe Pesci,(NULL),A,,,,0,80194,0,,0,1
PUB QUIZ,NONE,ADULT,30,Nederland,Welk model is deze iconische Amerikaanse auto?,Mustang,Firebird,Camaro,Challenger,(NULL),A,,,,0,80195,0,,0,1
PUB QUIZ,NONE,TEEN,30,Nederland,Welk model is deze iconische Amerikaanse auto?,Mustang,Firebird,Camaro,Challenger,(NULL),A,,,,0,80196,0,,0,1
PUB QUIZ,NONE,ADULT,30,Nederland,Hoeveel jaar huwelijk viert een zilveren jubileum?,25 jaar,10 jaar,30 jaar,50 jaar,(NULL),A,,,,0,80197,0,,0,1
PUB QUIZ,NONE,TEEN,30,Nederland,Hoeveel jaar huwelijk viert een zilveren jubileum?,25 jaar,10 jaar,30 jaar,50 jaar,(NULL),A,,,,0,80198,0,,0,1
SOUND AND MUSIC,NONE,ADULT,30,Nederland,Paul McCartney schreef &quot;Martha My Dear&quot;. Wie was Martha?,Zijn vrouw,Zijn dochter,Zijn hond,Zijn kat,(NULL),C,,,,0,80199,0,,0,1
BACK TO SCHOOL,NONE,JUNIOR,30,Nederland,Wat is de derde planeet die het dichtst bij de zon staat?,Aarde,Mars,Venus,Jupiter,(NULL),A,,,,0,80200,0,,0,1
BACK TO SCHOOL,NONE,TEEN,30,Nederland,Wat is de derde planeet die het dichtst bij de zon staat?,Aarde,Mars,Venus,Jupiter,(NULL),A,,,,0,80201,0,,0,1
BACK TO SCHOOL,NONE,JUNIOR,30,Nederland,Wat is de hoofdstad van Australi??,Perth,Sydney,Melbourne,Canberra,(NULL),D,,,,0,80204,0,,0,1
BACK TO SCHOOL,NONE,TEEN,30,Nederland,Wat is de hoofdstad van Australi??,Perth,Sydney,Melbourne,Canberra,(NULL),D,,,,0,80205,0,,0,1
BACK TO SCHOOL,NONE,JUNIOR,30,Nederland,Welk continent heeft de meeste landen?,Azi?,Afrika,Europa,Noord Amerika,(NULL),B,,,,0,80206,0,,0,1
BACK TO SCHOOL,NONE,TEEN,30,Nederland,Welk continent heeft de meeste landen?,Azi?,Afrika,Europa,Noord Amerika,(NULL),B,,,,0,80207,0,,0,1
BACK TO SCHOOL,NONE,JUNIOR,30,Nederland,Welke van deze is GEEN hoofdstad?,Londen,Berlijn,Parijs,Barcelona,(NULL),D,,,,0,80208,0,,0,1
BACK TO SCHOOL,NONE,JUNIOR,30,Nederland,Hoeveel staten zijn er in de Verenigde Staten van Amerika?,50,35,52,48,(NULL),A,,,,0,80209,0,,0,1
BACK TO SCHOOL,NONE,TEEN,30,Nederland,Hoeveel staten zijn er in de Verenigde Staten van Amerika?,50,35,52,48,(NULL),A,,,,0,80210,0,,0,1
BACK TO SCHOOL,NONE,JUNIOR,30,Nederland,Welke optie toont de chronologische volgorde voor deze tijdperken?,"Steentijd, ijzertijd, bronstijd","Steentijd, bronstijd, ijzertijd","IJzertijd, steentijd, bronstijd","Bronstijd, ijzertijd, steentijd",(NULL),B,,,,0,80211,0,,0,1
BACK TO SCHOOL,NONE,TEEN,30,Nederland,Welke optie toont de chronologische volgorde voor deze tijdperken?,"Steentijd, ijzertijd, bronstijd","Steentijd, bronstijd, ijzertijd","IJzertijd, steentijd, bronstijd","Bronstijd, ijzertijd, steentijd",(NULL),B,,,,0,80212,0,,0,1
BACK TO SCHOOL,NONE,ADULT,30,Nederland,Welke optie toont de chronologische volgorde voor deze tijdperken?,"Steentijd, ijzertijd, bronstijd","Steentijd, bronstijd, ijzertijd","IJzertijd, steentijd, bronstijd","Bronstijd, ijzertijd, steentijd",(NULL),B,,,,0,80213,0,,0,1
BACK TO SCHOOL,NONE,JUNIOR,30,Nederland,Welke beroemde kunstenaar schilderde de Mona Lisa in 1503?,Michelangelo,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,(NULL),B,,,,0,80215,0,,0,1
BACK TO SCHOOL,NONE,TEEN,30,Nederland,Welke beroemde kunstenaar schilderde de Mona Lisa in 1503?,Michelangelo,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,(NULL),B,,,,0,80216,0,,0,1
