CATEGORY,SUBCATEGORY,AGE,TIMEALLOWED,REGION,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,HINT,CORRECTANSWER,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
BACK TO SCHOOL,SCIENCE,"TEEN,ADULT",30,Belgium,Hermitage is een museum waar verschillende kunsttentoonstellingen te zien zijn uit diverse museale collecties. Maar in welke stad bevindt het zich?,Rotterdam,Amsterdam,Utrecht,Den Haag,,B,storage/questions/images/6XI2w1634212792365.jpg,,,1,121887,0,,0,1
BACK TO SCHOOL,SCIENCE,"JUNIOR,TEEN",30,Belgium,What type of correlation might you expect between outside temperature and ice cream sales?,Positive correlation,No correlation,Negative correlation,Depends on the ice cream,,A,storage/questions/images/c0QtS1626964022954.jpg,,,1,121954,0,,0,1
BACK TO SCHOOL,NONE,"JUNIOR,TEEN,ADULT",30,Belgium,Wat is de exacte datum waarop Belgie onafhankelijk werd?,25 augustus 1830,21 juli 1832,21 juli 1831,22 juli 1831,(NULL),C,storage/questions/images/lU5aU1634290496121.jpg,,,1,121964,0,,1,1
PUB QUIZ,NONE,"TEEN,ADULT",30,Belgium,In welke stad wordt de GP Formule 1 van Belgie gereden ?,.Dinant,Spa,Zolder,Zandvoort,(NULL),B,,,,0,121985,0,,0,1
PUB QUIZ,NONE,"JUNIOR,TEEN,ADULT",30,Belgium,Welke voornaam wordt gedeeld door een Vlaamse radiozender en de bekendste zwembadbouwer van Vlaanderen ?,.Joe,Freddy,Willy,Rudy,(NULL),C,,,,0,121992,0,,0,1
"TV, FILM AND BOOKS",FILM,"JUNIOR,TEEN,ADULT",30,Belgium,Welk personage uit FC De Kampioenen is ook de titel van een opera van componist Bizet ?,Carmen,Xavier,Balthazar,Pascale,(NULL),A,storage/questions/images/aR0Hi1634295731097.jpg,,,1,121995,0,,0,1
PUB QUIZ,NONE,"TEEN,ADULT",30,Belgium,Welke van deze voetbalploegen deelt zijn clubkleuren met die van tv-ploeg FC De Kampioenen ?,Manchester City,Barcelona,FC Nantes,Liverpool,(NULL),C,,,,0,122013,0,,0,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN,ADULT",30,Belgium,Welke filmprijs was ook de naam van de eerste coach van FC De Kampioenen ?,Cesar,Tony,Oscar,Ensor,(NULL),C,,,,0,122023,0,,0,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN,ADULT",30,Belgium,"Wat is de familienaam van Lien, Sien en Fien, drie zusjes uit een jeugdroman van Marc De Bel ?",Kriegel,Biegel,Ziegel,Piegel,(NULL),A,,,,0,122046,0,,0,1
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",30,Belgium,Wie schreef tussen 1997 en 2002 de trilogie Het Goddelijke Monster over de familie Deschryver ?,Hugo Claus,Tom Lanoye,Herman Brusselmans,Jef Geeraerts,(NULL),B,,,,0,122119,0,,0,1
