CATEGORY,SUBCATEGORY,AGE,TIMEALLOWED,REGION,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,HINT,CORRECTANSWER,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Welke prins staat ook wel bekend als 'huisjesmelker'?,Bernhard jr.,Claus,Maurits,Floris,(NULL),A,,,,0,178237,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Welke prinses ontwerpt sieraden?,Amalia,Mabel,Annette,Margarita,(NULL),D,,,,0,178239,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Welke prinses is de jongste zus van prinses Beatrix?,Margriet,Irene,Christina,Juliana,(NULL),C,,,,0,178241,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Hoe heet het werkpaleis van de koning?,Paleis Het Loo,Paleis Noordeinde,Paleis Huis ten Bosch,Paleis Soestdijk,(NULL),B,,,,0,178243,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Welke hobby hebben prinses Beatrix en prinses Margarita gemeen?,Wandelen,Hockey,Boetseren,Paardrijden,(NULL),D,,,,0,178245,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Welke kleur blauw was de jurk van Maxima tijdens de inauguratie?,Donker blauw,Cobalt blauw,Koningsblauw,Licht blauw,(NULL),C,,,,0,178247,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Waar vond de inauguratie van Koning Willem Alexander plaats?,Paleis Huis ten Bosch,Paleis Lange Voorhout,Koninklijk Paleis Amsterdam,Nieuwe Kerk Amsterdam,(NULL),D,,,,0,178249,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Sinds wanneer is Willem Alexander koning?,27 april 2013,30 april 2014,30 april 2013,31 januari 2013,(NULL),C,,,,0,178251,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Welke belgische mode ontwerper is de grootste favoriet van koningin Maxima?,Jean Pierre Louis Nittan,Edouard Vermeulen,Ann Demeulemeester,Dries Van Noten,(NULL),B,,,,0,178253,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,In welke 2 Nederlandse steden heeft koningin Maxima's favoriete modehuis Natan een winkel?,Amsterdam en Den Haag,Rotterdam en Den Haag,Amsterdam en Maastricht,Den Haag en Maastricht,(NULL),C,,,,0,178255,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Hoe heet de nederlandse mode ontwerper die de gouden jurk van Maxima ontwierp?,Iris van Herpen,Viktor en Rolf,Jan Taminiau,Ilja Visser,(NULL),C,,,,0,178257,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Wat is een tiara?,Een vlag,Een oranje wimpel,Een oorbel,Een kroon,(NULL),D,,,,0,178259,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Hoe heet de man van prinses Margriet?,Peter van Vollenhoven,Pieter van Vollenhoven,Piet van Vollenhoven,Pierre van Vollenhoven,(NULL),B,,,,0,178261,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,In welk jaar werd Beatrix Koningin der Nederlanden?,1970,1980,1982,1979,(NULL),B,,,,0,178263,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Welke prinses houdt ervan om bomen te knuffelen?,Beatrix,Amalia,Margriet,Irene,,D,storage/questions/images/WbeS91653909557794.jpg,,,1,178265,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Waar bevindt zich de Koninklijke grafkelder?,Nieuwe Kerk Amsterdam,Grote Kerk Den Haag,Oude Kerk Delft,Nieuwe Kerk Delft,(NULL),D,,,,0,178267,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Hoe noemt men Koning Willem Alexander in Argentinie?,Goulielmos Alexandros,Guillermo Alejandro,Rey Alejandro,Guglielmo Alessandro,(NULL),B,,,,0,178269,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,In welk land heeft onze huidige Koninklijke familie een vakantiehuis?,Mozambique,Frankrijk,Italie,Griekenland,(NULL),D,,,,0,178271,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Waar is het vakantiehuis van prinses Beatrix?,Pitigliano,Volterra,Tavarnelle,Florence,(NULL),C,,,,0,178273,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,In welk land studeert Alexia?,Schotland,Wales,Engeland,Ierland,(NULL),B,,,,0,178275,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Hoe heet de vrouw van prins Constantijn?,Mabel,Marilene,Laurentien,Annette,(NULL),C,,,,0,178277,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Hoe heet de oudste dochter van prinses Mabel en prins Friso?,Alexia,Zaria,Luana,Ariana,(NULL),C,,,,0,178279,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Wat zijn de appeltjes van Oranje?,Appelbomen in de tuin van het paleis,Een jaarlijkse prijs voor sociale initiatieven,Een standbeeld in Den Haag,Een prijs voor het koninklijk personeel,(NULL),B,,,,0,178281,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Wanneer werd het burgerlijk huwelijk tussen Maxima en Willem Alexander gesloten?,27 april 2002,20 april 2002,2 februari 2002,20  februari 2002,(NULL),C,,,,0,178283,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Welk cadeau ontvingen Maxima en Willem Alexander van de Nederlandse bevolking ter ere van het huwelijk?,Oranje Fonds,Een zeilboot,Een Oranje lint,Een paleis,(NULL),A,,,,0,178285,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Hoe heet het lied dat werd gezongen ter ere van het huwelijk van Maxima en Willem Alexander in de Amsterdam Arena?,Lopen op het water,Lopen naar de kerk,Lopen in de regen,Lopen naar de sterren,(NULL),A,,,,0,178287,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Wie is de jongste dochter van de koning?,Ariane,Alexia,Amalia,Antonia,(NULL),A,,,,0,178289,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Welke sport beoefenen alle 3 de dochters van de koning?,Voetbal,Hockey,Tennis,Hardlopen,(NULL),B,,,,0,178291,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Welke prins doet iets in de Formule 1?,Maurits,Carlos,Bernhard,Pieter Christiaan,(NULL),C,,,,0,178293,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,Welke achternaam dragen de kinderen van prinses Christina?,van Vollenhoven,Guillermo,van Oranje,Nassau,,B,storage/questions/images/i7Yoc1653909618157.jpg,,,1,178295,0,,0,1
Koninklijk Huis Nederland,NONE,"TEEN,ADULT",30,Nederland,In welk land vond de allereerste ontmoeting plaats tussen Maxima en Willem Alexander?,Griekenland,Argentinie,Amerika,Spanje,(NULL),D,,,,0,178297,0,,0,1
