CATEGORY,SUBCATEGORY,AGE,TIMEALLOWED,REGION,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,HINT,CORRECTANSWER,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
PUB QUIZ,NONE,ADULT,30,United Kingdom,"Boris Becker reached the Wimbledon final seven times, how many did he win?",4,2,3,5,(NULL),C,storage/questions/images/wUh4L1585332657343.jpg,,,1,9,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,"In which year did Sting release 'Fields of Gold', the same year Unforgiven won the Academy Award for Best Picture?",1985,1994,1993,1987,(NULL),C,storage/questions/images/sUjh71626110143161.jpg,,,1,27,0,,1,1
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",30,United Kingdom,The first Harry Potter film &quot;The Philosopher's Stone&quot; was released in what year?,2002,2004,2003,2001,(NULL),D,,,,0,361,0,(NULL),1,0
PUB QUIZ,NONE,ADULT,30,United Kingdom,"Who said &quot;Life is full of misery, loneliness and suffering - and it's all over much too soon &quot;",Woody Allen,Liza Minnelli,Robin Williams,Paul Newman,(NULL),A,,,,0,901,0,(NULL),1,0
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,"In 1985, who became the first popular Western music act to perform in China?",The Cure,Simon and Garfunkel,Scorpions,Wham!,,D,storage/questions/images/ngnCN1626109954198.jpg,,,1,922,0,,1,1
PUB QUIZ,NONE,ADULT,30,United Kingdom,Which amendment to America's constitution ended prohibition?,The 18th,The 19th,The 20th,The 21st,(NULL),D,,,,0,976,0,(NULL),1,0
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,Who sang &quot;I want my MTV&quot; on the Dire Straits song 'Money For Nothing'?,Sting,David Knopfler,Mark Knopfler,Elvis Costello,,A,storage/questions/images/J7rVk1626109564510.jpg,,,1,979,0,,1,1
"TV, FILM AND BOOKS",NONE,ADULT,30,United Kingdom,Who starred as Cole Porter In The 1945 film Night &amp; Day?,Gregory Peck,Rock Hudson,Cary Grant,Henry Fonda,(NULL),C,,,,0,985,0,(NULL),1,0
PUB QUIZ,NONE,ADULT,30,United Kingdom,In golf what would you put in your shag bag?,Practice balls,Golf tees,Your lunch,Golf shoes,(NULL),A,,,,0,994,0,(NULL),1,0
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,"Which music festival was attended by over 400,000 people in 1969?",Woodstock,Glastonbury,Isle of Wight,Reading,(NULL),A,,,,0,1031,0,(NULL),1,0
PUB QUIZ,NONE,ADULT,30,United Kingdom,What is hippopotomonstrosesquippedaliophobia the fear of?,Open spaces,Long words,Spiders,Large animals,(NULL),B,,,,0,1034,0,(NULL),1,0
SOUND AND MUSIC,NONE,ADULT,30,United Kingdom,What group was Ringo Starr with just prior to the Beatles?,Eddie Clayton Skiffle Group,The Searchers,The Merseybeats,Rory Storm and the Hurricanes,,D,storage/questions/images/fSFJQ1626109373712.jpg,,,1,1043,0,,1,1
PUB QUIZ,NONE,ADULT,30,United Kingdom,Isolophobia is the fear of what exactly?,Being alone,Islands,The dark,Deep water,(NULL),A,,,,0,1056,0,(NULL),1,0
PUB QUIZ,NONE,ADULT,30,United Kingdom,Which architect designed London's &quot;The Shard&quot;?,Tom Wright,Norman Foster,Zaha Hadid,Renzo Piano,(NULL),D,,,,0,1065,0,(NULL),1,0
PUB QUIZ,NONE,ADULT,30,United Kingdom,Who was the first woman to appear naked on the front cover of The Radio Times?,Madonna,Sharon Stone,Dame Judi Dench,Dame Helen Mirren,(NULL),D,,,,0,1095,0,(NULL),1,0
PUB QUIZ,NONE,ADULT,30,United Kingdom,Which of these is not a colour of an Olympic ring?,White,Blue,Red,Yellow,(NULL),A,,,,0,1096,0,(NULL),1,0
PUB QUIZ,NONE,ADULT,30,United Kingdom,In which county is Charnwood Forest?,Lincolnshire,Leicestershire,Kent,Essex,(NULL),B,,,,0,1099,0,(NULL),1,0
PUB QUIZ,NONE,ADULT,30,United Kingdom,Ralph Freeman designed which Australian landmark?,Swan Bells,The Sydney Harbour Bridge,The Sydney Opera House,The Australian War Memorial,(NULL),B,,,,0,1107,0,(NULL),1,0
