CATEGORY,SUBCATEGORY,AGE,TIMEALLOWED,REGION,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,HINT,CORRECTANSWER,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
BACK TO SCHOOL,NONE,JUNIOR,30,United Kingdom,The line graph shows the temperature over one day. What was the temperature at 15:00?,19 °C,16 °C,18 °C,20 °C,(NULL),A,Gd4Xs1620675136162.jpg,,,1,67324,0,,1,1
BACK TO SCHOOL,NONE,JUNIOR,30,United Kingdom,"What is the mean of these 4 numbers? 8, 3, 3, 6",5,20,4,6,(NULL),A,1BRrr1620675259733.jpg,,,1,67328,0,,1,1
BACK TO SCHOOL,NONE,JUNIOR,30,United Kingdom,Tom has Dollar 1. Sweets cost 11¢ each. What is the maximum number of sweets Tom can buy?,11,8,10,9,(NULL),D,aTQ101620675465980.jpg,,,1,67332,0,,1,1
BACK TO SCHOOL,NONE,JUNIOR,30,United Kingdom,Will has pound5. Chocolate bars cost 70p. What is the maximum number of chocolate bars Will can buy?,6,7,8,5,(NULL),B,uSuRS1620675702392.jpg,,,1,67336,0,,1,1
BACK TO SCHOOL,NONE,JUNIOR,30,United Kingdom,A bus leaves the station at 11.27 and travels for 2 1/4 hours. At what time does it arrive at the destination?,13.27,13.52,13.42,13.32,(NULL),C,sjtVJ1620675941393.jpg,,,1,67338,0,,1,1
BACK TO SCHOOL,NONE,JUNIOR,30,United Kingdom,Kai starts watching a film at 7.40pm. The film is 135 minutes long. What time does the film finish?,10 pm,9.55 pm,9.50 pm,9.15 pm,(NULL),B,zvWo81620676062321.jpg,,,1,67342,0,,1,1
BACK TO SCHOOL,NONE,JUNIOR,30,United Kingdom,Dee has a rope 2.5 m long. Dee cuts 65 cm from the rope. What length of rope is left?,1.85 m,3.15 m,0.65 m,1.80 m,(NULL),A,yDv8H1620676198688.jpg,,,1,67350,0,,1,1
BACK TO SCHOOL,NONE,JUNIOR,30,United Kingdom,An athletics track is 400 m long. Sam runs a 10 km race. How many laps of the track does Sam run?,25 laps,10 laps,5 laps,20 laps,(NULL),A,Ou2cl1620676450205.jpg,,,1,67354,0,,1,1
BACK TO SCHOOL,NONE,JUNIOR,30,United Kingdom,How many lines of symmetry does a rectangle have?,2,4,8,none,(NULL),A,6SzLr1620676665158.jpg,,,1,67358,0,,1,1
BACK TO SCHOOL,NONE,JUNIOR,30,United Kingdom,What is the name for the part of a circle shown in red?,Diameter,Radius,Centre,Circumference,(NULL),B,VhJDT1620677185685.jpg,,,1,67370,0,,1,1
BACK TO SCHOOL,NONE,JUNIOR,30,United Kingdom,What is the name for the part of a circle shown in red?,Circumference,Centre,Diameter,Radius,(NULL),C,VvU1B1620677201854.jpg,,,1,67374,0,,1,1
BACK TO SCHOOL,NONE,JUNIOR,30,United Kingdom,What do the angles on a straight line add up to?,180°,90°,360°,270°,(NULL),A,6XDeI1620677580115.jpg,,,1,67386,0,,1,1
BACK TO SCHOOL,NONE,JUNIOR,30,United Kingdom,Which of these angles is acute?,142°,67°,285°,309°,(NULL),B,AppvM1620677785697.jpg,,,1,67390,0,,1,1
BACK TO SCHOOL,NONE,JUNIOR,30,United Kingdom,What is the special name given to a triangle with three equal angles and sides?,Equilateral triangle,Scalene triangle,Isosceles triangle,Right-angled triangle,(NULL),A,zAFQC1620678182680.jpg,,,1,67402,0,,1,1
