CATEGORY,SUBCATEGORY,AGE,TIMEALLOWED,REGION,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,HINT,CORRECTANSWER,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
BREAKING NEWS,NONE,"TEEN,ADULT",30,United Kingdom,Which UK retailer vowed to stop selling all plastic-based wet wipes by the end of 2022?,Tesco,Asda,Boots,WHSmith,,C,M1u9g1650994003576.jpg,,,1,177228,0,,1,1
BREAKING NEWS,NONE,"TEEN,ADULT",30,United Kingdom,"Employees at an NYC branch of which US retailer announced a plan to start the company's first ever union, in April 2022?",Amazon 4-star,Apple Inc,Bloomingdale's,Baskin-Robbins,,B,bzQw81650994703020.jpg,,,1,177232,0,,1,1
BREAKING NEWS,NONE,"JUNIOR,TEEN,ADULT",30,United Kingdom,"US scientists have named a newly-discovered twisted-claw millipede after which popstar, in recognition of their ""talent as a songwriter and performer""?",Zendaya,Hailee Steinfeld,Taylor Swift,Katy Perry,,C,bYKwN1650995195736.jpg,,,1,177250,0,,1,1
BREAKING NEWS,NONE,"TEEN,ADULT",30,United Kingdom,"What short film was produced by Bafta-winning director Brian Hill, triggered by his concern about bullying in the film and TV industry?",Silenced,Toxic,Plague,Smoke Screen,,B,DLNmf1650995728683.jpg,,,1,177282,0,,1,1
BREAKING NEWS,NONE,ADULT,30,United Kingdom,"What song did this man recently record and publicly perform, in support of Ukraine?",War (What Is It Good For?),Let It Be,All Along the Watchtower,Imagine,Pictured is Julian Lennon!,D,SxjRt1650998181726.jpg,,,1,177296,0,,1,1
BREAKING NEWS,NONE,"JUNIOR,TEEN,ADULT",30,United Kingdom,"In late April, media outlets reported a spike in which disease, among children in the European Union, US and UK?",Ebola,Malaria,Hepatitis,Tuberculosis,,C,BNhm71650999173175.jpg,,,1,177302,0,,1,1
BREAKING NEWS,NONE,"JUNIOR,TEEN,ADULT",30,United Kingdom,"What 700 year-old relic was recently found five feet under a street in Tallinn, Estonia?",Throne of Henry VIII,Preserved 80-foot ship,Chinese gunpowder reserves,Ark of the Covenant,,B,zWuoS1651001671679.jpg,,,1,177340,0,,1,1
BREAKING NEWS,NONE,ADULT,30,United Kingdom,"Which South Western US city experienced a one hundred foot wall of fire in April, dubbed the ""Tunnel Fire""?",Flagstaff,Salt Lake City,Albuquerque,Houston,,A,v4Aab1651002430177.jpg,,,1,177388,0,,1,1
BREAKING NEWS,NONE,"JUNIOR,TEEN",30,United Kingdom,"A football shirt worn by which legendary player, during an epic quarter-final match at the 1986 World Cup against England, is expected to sell for pound4 million at auction?",Pele,Diego Maradona,Michel Platini,Paolo Maldini,,B,8CxRd1651003568803.jpg,,,1,177406,0,,1,1
BREAKING NEWS,NONE,"JUNIOR,TEEN,ADULT",30,United Kingdom,"British researchers claimed in April, that mycological organisms (e.g. mushrooms) can communicate with each other by what method?",Sonar,Electrical impulses,Pollination,Frequency emission,,B,aQCbO1651004071930.jpg,,,1,177422,0,,1,1
