CATEGORY,SUBCATEGORY,AGE,REGION,TIMEALLOWED,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECTANSWER,HINT,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
BREAKING NEWS,NONE,JUNIOR,United States,30,What is the name of Rosss first wifes partner?                                                                    ,Emma,Susan,Janice,Carol,B,,Netflix-and-Chill-85.jpg,,,1,328356,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN",United States,30,Who did Ross date before getting together with Rachel for the first time?,Janice,Julie,Carol,Mona,B,,Netflix-and-Chill-59.jpg,,,1,328357,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN,JUNIOR",United States,30,Where does Ross work... until a co-worker eats his sandwich?,New York University,New York Paleontology Museum,The Central Park Zoo,The Museum of Prehistoric History,D,,Netflix-and-Chill-55.jpg,,,1,328358,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN,JUNIOR",United States,30,"He's been a server, a stunt butt, and a prolific pitchman - what has Joey never been in an ad for?",Mens lipstick,A milk pourer,STI testing,Calvin Klein cologne,D,,Netflix-and-Chill-37.jpg,,,1,328359,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN",United States,30,Oh my god Who is Chandler's girlfriend with a famously annoying laugh?,Janet,Jane,Julie,Janice,D,Pictured is a courtroom scene from The Trial of the Chicago 7!,Netflix-and-Chill-62.jpg,,,1,328360,0,Ashley,1,1
BREAKING NEWS,NONE,ADULT,United States,30,What is the delivery name on the TV Guide mailed to Chandler?                                         ,Miss Chanandler Bong                               ,Chandler Muriel Bong,Bong,Ms Chandler Bing,A,,Netflix-and-Chill-11.jpg,,,1,328361,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN",United States,30,Which character never appears on screen with any kind of facial hair?,Ross,Rachel,Phoebe,Chandler,C,,Netflix-and-Chill-60.jpg,,,1,328362,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN",United States,30,"In Season 1, Ross had a pet monkey. What was his name?",Marcel,Max,Chucky,Monty,A,,Netflix-and-Chill-52.jpg,,,1,328363,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN",United States,30,What contribution did real-life Pretenders singer and Central Perk performer Chrissie Hynde make to the show?,Inspired The Rachel haircut,Taught Lisa Kudrow guitar,Monicas apartment was hers,Co-wrote Smelly Cat,D,,Netflix-and-Chill-43.jpg,,,1,328364,0,Ashley,1,1
BREAKING NEWS,NONE,ADULT,United States,30,How does Joey convince Rachel to keep living with him after she gets pregnant?,Proposes to her,Trades apartments with Monica,Builds her a nursery,Buys her a cheesecake,C,,Netflix-and-Chill-81.jpg,,,1,328365,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN",United States,30,What does Rachel have inked on her hip when she and Phoebe go to the tattoo studio?,Peace Sign,Cherries,Red heart,Planet Earth from Space,C,"Nepali mountaineer Nims Purja summited 14 mountains ('14 Peaks') above 8,000 meters, including Everest, K2, and a dozen more in just six months and six days!",Netflix-and-Chill-17.jpg,,,1,328366,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN,JUNIOR",United States,30,Where do the characters meet up for coffee?,Central Park,Gunther's,Central Perk,Central Coffee Shop,C,,Netflix-and-Chill-28.jpg,,,1,328367,0,Ashley,1,1
BREAKING NEWS,NONE,ADULT,United States,30,How many roses did Ross send Emily?                                                                                                                                                                                     ,12,18,80,72,D,,Netflix-and-Chill-73.jpg,,,1,328368,0,Ashley,1,1
BREAKING NEWS,NONE,ADULT,United States,30,Where did Ross and Rachel go on their first date?,Coffee Shop,Planetarium,History Museum,Moondance Diner,B, ,Netflix-and-Chill-64.jpg,,,1,328369,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN",United States,30,How many sisters does Joey have?                                                                                  ,7,8,6,5,A,"D is a lyric from The Unbreakable Kimmy Schmidt, starting a few beats into the song. ",Netflix-and-Chill-86.jpg,,,1,328370,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN,JUNIOR",United States,30,"After falling asleep in a meeting, where does Chandler accidentally agree to move?  ",Alaska,Ohio,Tulsa,Minnesota,C,,Netflix-and-Chill-20.jpg,,,1,328371,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN",United States,30,"At the Halloween party where Monica is Catwoman, Chandlers a bunny, and Ross is Spudnik, whos Joey dressed as?",Gladiator,Chandler,Doctor,Sailor,B,,Netflix-and-Chill-58.jpg,,,1,328372,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN,JUNIOR",United States,30,"So, no one told you life was gonna be this way How many handclaps in the theme song?",4,5,2,8,A,,Netflix-and-Chill-72.jpg,,,1,328373,0,Ashley,1,1
BREAKING NEWS,NONE,ADULT,United States,30,What is the name of the fist-bump invented by Ross to discreetly rebel against his parents?,The Forget You Fist,The Friendly Finger,Bump Off,The Geller Goodbye,B,,Netflix-and-Chill-7.jpg,,,1,328374,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN,JUNIOR",United States,30,How many pages is Rachel's infamous letter to Ross?                         ,18 back and front,19 back and front,17 back and front,16 back and front,A,,Netflix-and-Chill-45.jpg,,,1,328375,0,Ashley,1,1
BREAKING NEWS,NONE,"TEEN,JUNIOR",United States,30,Which Friend was the first to find out about Monica and Chandler?,Rachel,Joey,Phoebe,Ross,B,,Netflix-and-Chill-30.jpg,,,1,328376,0,Ashley,1,1
BREAKING NEWS,NONE,ADULT,United States,30,Where would you find this frame?,Behind the coffee house bar,Rosss classroom,Inside Monicas front door,Phoebes bedroom,C,,Netflix-and-Chill-97.jpg,,,1,328377,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN,JUNIOR",United States,30,Who's the hairless cat Rachel sells when it ends up being more predator than cuddly Beatrix Potter character?,Ezel,Mrs. Whiskerson,Sphinxy,Eloise,B,Pictured is character Eddie Munson from Stranger Things.,Netflix-and-Chill-78.jpg,,,1,328378,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN",United States,30,"Which band performs the show's theme, I'll Be There For You?                                                                ",The Rembrandts,The Wonders,Youngstown,The Replacements,A,,Netflix-and-Chill-4.jpg,,,1,328379,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN,JUNIOR",United States,30,What do Ross and Rachel name their daughter?                                                                    ,Susan,Emily,Emma,Amelia                                                     ,C,,Netflix-and-Chill-91.jpg,,,1,328380,0,Ashley,1,1
BREAKING NEWS,NONE,"TEEN,JUNIOR",United States,30,Who are Ross and Monica's parents?,Judy & Leonard,Judy & Jack,Jack & Sandra,Sandra & Leonard,B,,Netflix-and-Chill-98.jpg,,,1,328381,0,Ashley,1,1
BREAKING NEWS,NONE,ADULT,United States,30,Which New York City suburb do Chandler and Monica decide to move to?,Westchester,New Jersey,Greenville,Jericho ,A,,Netflix-and-Chill-42.jpg,,,1,328382,0,Ashley,1,1
BREAKING NEWS,NONE,ADULT,United States,30,"Heading into Season 3, how did the cast of Friends change the way the TV industry treats performers?",Negotiated their contracts together,Requested scripts in advance,Fought for on-set daycare,Won right to date co-stars,A,,Netflix-and-Chill-69.jpg,,,1,328383,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN",United States,30,Who is Joey's agent?,Emma,Janice,Estelle,Emily                                 ,C,,Netflix-and-Chill-2.jpg,,,1,328384,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN",United States,30,What does Chandler do for a living before switching to advertising?,Insurance assessor,Transposer,Statistical analysis,Accountant,C,,Netflix-and-Chill-31.jpg,,,1,328385,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN",United States,30,What song makes Ross and Rachels daughter Emma laugh?              ,Be My Baby,Baby Love,Get Back,Baby Got Back,D,,Netflix-and-Chill-16.jpg,,,1,328386,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN",United States,30,What does the message on Rosss tiny T-shirt refer to?,Frank Sinatra,Jurassic Park,Nathans Famous Hotdogs,Nathans Famous Hotdogs,D,,Netflix-and-Chill-68.jpg,,,1,328387,0,Ashley,1,1
BREAKING NEWS,NONE,ADULT,United States,30,What is Joeys favourite food?   ,Sandwiches,Turkey,Pastrami ,Pizza,A,"Sarah Margaret Qualley starred alongside her on-screen and real mother, Andie MacDowell, in Netflix hit Maid.",Netflix-and-Chill-89.jpg,,,1,328388,0,Ashley,1,1
BREAKING NEWS,NONE,"ADULT,TEEN",United States,30,Who did the creators envision as the shows main couple before they started filming?,Monica and Chandler,Monica and Joey,Ross and Rachel,Joey and Phoebe,B,Pictured are Emily & Julien from Emily in Paris.,Netflix-and-Chill-54.jpg,,,1,328389,0,Ashley,1,1
