CATEGORY,SUBCATEGORY,AGE,TIMEALLOWED,REGION,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,HINT,CORRECTANSWER,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
SOUND AND MUSIC,NONE,ADULT,35,Nederland,In welke langlopende HBO-tv-serie kwam dit Journey-nummer voor in de raadselachtige slotsc?ne van de laatste aflevering?,The Sopranos,The Wire,Mad Men,Six Feet Under,,A,,,storage/questions/sounds/2Wwyy1637080516109.mp3,2,150778,0,,1,1
SOUND AND MUSIC,NONE,ADULT,35,Nederland,"Alle, behalve welke van de volgende waren hits van Frankie Valli en the Four Seasons?",Beggin',You're Just to Good to be True,My Eyes Adored You,Walk Like a Man,"The song title is 'Can't Take My Eyes off You', with &quot;you're just too good to be true&quot; in the lyrics!",B,,,storage/questions/sounds/49AKr1637079912430.mp3,2,150781,0,,1,1
SOUND AND MUSIC,NONE,ADULT,35,Nederland,In de slotscene van welke film treedt deze band live op op een bruiloft?,Wedding Crashers,The 40 Year Old Virgin,Despicable Me 2,Bridesmaids,,D,,,storage/questions/sounds/BpIpP1637026308721.mp3,2,150784,0,,1,1
SOUND AND MUSIC,NONE,"TEEN,ADULT",35,Nederland,Welke Amerikaanse countryzanger speelt op Zedd's 'In The Middle' de leadzang?,Anne-Marie,Maren Morris,Zara Larsson,Jesy Nelson,,B,,,storage/questions/sounds/ZeRrN1637026882892.mp3,2,150787,0,,1,1
SOUND AND MUSIC,NONE,"TEEN,ADULT",35,Nederland,Noem het liedje!,Basket Case,Boulevard of Broken Dreams,When I Come Around,American Idiot,,C,,,storage/questions/sounds/BtmGT1637084070162.mp3,2,150793,0,,1,1
BREAKING NEWS,NONE,"JUNIOR,TEEN,ADULT",30,Nederland,Welk land heeft zich m.b.t. de ontbossing van het tropisch regenwoud onlangs groener voorgedaan dan de werkelijkheid (greenwashing)?,Colombia,Venezuela,Brazili?,Suriname,,C,storage/questions/images/F9Yzd1637395020364.jpg,,,1,158777,0,,1,1
BREAKING NEWS,NONE,"JUNIOR,TEEN,ADULT",30,Nederland,Aan welk beroemd schilderij wordt getwijfeld of deze wel echt van de hand van de meester (kunstenaar) zelf is?,De Nachtwacht (Rembrandt van Rijn),Interchange (Willem de Kooning),Mona Lisa (Leonardo da Vinci),Salvator Mundi (Leonardo da Vinci),,D,storage/questions/images/qNn3S1637394972550.jpg,,,1,158789,0,,1,1
"TV, FILM AND BOOKS",NONE,ADULT,30,Nederland,Wie zie je hier in de rol van Hugo Warmond in de tv-serie Klem?,Jacob Derwig,Raymond Thiry,Barry Atsma,Frank Lammers,,C,storage/questions/images/YHcBF1637485762550.jpg,,,1,158945,0,,1,1
"TV, FILM AND BOOKS",NONE,ADULT,30,Nederland,Wie zie je hier in de rol van Marius Milner in de tv-serie Klem?,Jacob Derwig,Raymond Thiry,Barry Atsma,Frank Lammers,,A,storage/questions/images/EKJs81637486024206.jpg,,,1,158949,0,,1,1
"TV, FILM AND BOOKS",NONE,ADULT,30,Nederland,Wie zie je hier in de rol van Kitty van Mook in de tv-serie Klem?,Carice van Houten,Famke Janssen,Monic Hendrickx,Georgina Verbaan,,D,storage/questions/images/c2Ypw1637486488051.jpg,,,1,158951,0,,1,1
"TV, FILM AND BOOKS",NONE,ADULT,30,Nederland,Wie zie je hier in de rol van Carmen van Walraven in de tv-serie Penoza?,Carice van Houten,Famke Janssen,Monic Hendrickx,Georgina Verbaan,,C,storage/questions/images/9VAW61637486722317.jpg,,,1,158953,0,,1,1
BREAKING NEWS,NONE,"TEEN,ADULT",30,Nederland,Welke Nederlandse acteur heeft naast o.a. Harrison Ford een belangrijke rol in de nieuwe Indiana Jones 5 film (2023 in de bioscoop)?,Rico Verhoeven,Olivier 'The Dutch Giant' Richters,Barry Atsma,Thom Hoffman,,B,storage/questions/images/Bkzmt1637487763823.jpg,,,1,158955,0,,1,1
"TV, FILM AND BOOKS",NONE,ADULT,30,Nederland,Wie zie je hier in de rol van Kees in de tv-film &amp; serie Flodder?,Nelly Frijda,Famke Janssen,Tatjana ?imi?,Georgina Verbaan,,C,storage/questions/images/Auoqj1637492982566.jpg,,,1,158974,0,,1,1
"TV, FILM AND BOOKS",NONE,ADULT,30,Nederland,Welke legendarische uitspraak deed Tatjana ?imi? in de rol van Kees in bovenstaande scene van de film Flodder?,"Maar buurman, wat een mooie bloemen!","Maar buurman, het is nog veel te vroeg!","Maar buurman, wat doet u nu?","Maar buurman, wat een mooie auto!",,C,storage/questions/images/Auoqj1637492982566.jpg,,,1,158976,0,,1,1
SOUND AND MUSIC,NONE,ADULT,30,Nederland,Wat was de artiestennaam van dit zangtrio?,"Babette, Guusje &amp; Katja","Linda, Fleur &amp; Jessica","Linda, Roos &amp; Jessica","Goede tijden, slechte tijden",,C,storage/questions/images/3vot01637498222007.jpg,,,1,158980,0,,1,1
"TV, FILM AND BOOKS",NONE,ADULT,30,Nederland,Wie zie je hier in de rol van Willem Holleder in de tv-serie Judas?,Waldemar Torenstra,Gijs Naber,Cees Boot,Jacob Derwig,,B,storage/questions/images/Ex3gC1637506589268.jpg,,,1,158984,0,,1,1
BREAKING NEWS,NONE,"JUNIOR,TEEN,ADULT",30,Nederland,Welk bedrijf won 'De Loden Leeuw' 2021 voor meest irritante tv reclamespot?,Decupr?,Verisure,Aldi,Toto,,B,storage/questions/images/ZCYu31637612287209.jpeg,,,1,159030,0,,1,1
BREAKING NEWS,NONE,"JUNIOR,TEEN,ADULT",30,Nederland,Hennie Huisman won glansrijk 'De Loden Leeuw' 2021 voor meest irritante BN'er in een tv reclamespot. Wat prees hij aan?,TOTO,Lidl,Meubelzorg,Jumbo,,C,storage/questions/images/NOid71637612691075.jpg,,,1,159039,0,,1,1
BREAKING NEWS,NONE,"TEEN,ADULT",30,Nederland,Welk automerk heeft onlangs  octrooi aangevraagd op een systeem dat de banden van een auto laat leeglopen zodra zich een noodsituatie voordoet?,BMW,Porsche,Nissan,Mercedes,,D,storage/questions/images/5jk3N1637651456527.jpg,,,1,159057,0,,1,1
BREAKING NEWS,NONE,"TEEN,ADULT",30,Nederland,Wat is de titel van het nieuwe album van Adele?,31,21,30,25,,C,storage/questions/images/HoEoY1637650934936.jpg,,,1,159067,0,,1,1
BREAKING NEWS,NONE,"JUNIOR,TEEN",30,Nederland,Welke 'royal' deed onlangs mee aan het populaire Stuk TV programma Het Jachtseizoen?,Claus-Casimir van Oranje,Catharina-Amalia van Oranje,Eloise van Oranje,Laurentien van Oranje,,C,storage/questions/images/QjltS1638570094692.png,,,1,159077,0,,1,1
PUB QUIZ9,NONE,ADULT,35,Nederland,"Van welke nationaliteit is het karakter van Olivia Olson, de zangeres van dit Mariah Carey lied in de klassieke romantische comedy Love Actually?",Amerikaanse,Engelse,Zweedse,Canadese,(NULL),A,,,storage/questions/sounds/Z0H711637799399471.mp3,2,159081,0,,1,1
