CATEGORY,SUBCATEGORY,AGE,TIMEALLOWED,REGION,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,HINT,CORRECTANSWER,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
"TV, FILM AND BOOKS",NONE,TEEN,30,United Kingdom,In which movie musical would you hear these lyrics: 'So tell me do you wanna go? Where it's covered in all the coloured lights'?,High School Musical,Frozen,Mary Poppins Returns,The Greatest Showman,(NULL),D,QC002175.jpg,,,1,54225,0,,1,1
"TV, FILM AND BOOKS",NONE,TEEN,30,United Kingdom,Baker Street is the home of which literary detective?,Sherlock Holmes,Hercule Poirot,Jessica Fletcher,Thomas Magnum,(NULL),A,QC001388.jpg,,,1,54229,0,,1,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",30,United Kingdom,"In Aesop's Fable, which animal did the tortoise beat in a race?",Rabbit,Snail,Hare,Lion,(NULL),C,QC001387.jpg,,,1,54233,0,,1,1
"TV, FILM AND BOOKS",NONE,TEEN,30,United Kingdom,What is the name of the horse who narrates the novel by Anna Sewell?,Pink Beauty,Black Beauty,Red Beauty,Green Beauty,(NULL),B,QC001381.jpg,,,1,54241,0,,1,1
"TV, FILM AND BOOKS",NONE,JUNIOR,30,United Kingdom,What is the name the British detective whose partner is Dr. Watson?,Sherlock Holmes,Simon Holmes,Steven Holmes,Sam Holmes,(NULL),A,QC001379.jpg,,,1,54249,0,,1,1
"TV, FILM AND BOOKS",NONE,JUNIOR,30,United Kingdom,What is the name of the prince in 'Cinderella'?,Prince Charming,Prince Lovely,Prince Kind,Prince Handsome,(NULL),A,XOw141619476323688.jpg,,,1,54253,0,,1,1
"TV, FILM AND BOOKS",NONE,JUNIOR,30,United Kingdom,Which fairytale is Disney's Tangled based upon?,Princess and the Pea,Rapunzel,Hansel and Gretel,Sleeping Beauty,(NULL),B,8uRid1619476743124.jpg,,,1,54257,0,,1,1
"TV, FILM AND BOOKS",NONE,JUNIOR,30,United Kingdom,What do Hansel and Gretel leave behind so they can find their way back?,Marbles,Straw,Sweets,Bread Crumbs,(NULL),D,Hzgae1619476928524.jpg,,,1,54261,0,,1,1
"TV, FILM AND BOOKS",NONE,JUNIOR,45,United Kingdom,What is the name of the little girl who loved reading in the book and film by Roald Dahl?,Frances,Matilda,Nadia,Milly,(NULL),B,g5Ysz1619477055841.jpg,,,1,54265,0,,1,1
"TV, FILM AND BOOKS",NONE,JUNIOR,30,United Kingdom,What animal does Little Red Riding Hood find in her grandma's bed?,A dog,A wolf,A lion,A bear,(NULL),B,zZbCA1619520330000.jpg,,,1,54269,0,,1,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN,ADULT",30,United Kingdom,What is the name of the town ruled by Lord Farquaad in the film Shrek?,Conques,Toontown,Neverland,Duloc,(NULL),D,zvsN31619471061908.jpg,(NULL),(NULL),1,54369,0,(NULL),1,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN,ADULT",30,United Kingdom,Who is Harry's godfather in Harry Potter and the Prisoner of Azkaban?,Hagrid,Snape,Sirius Black,Dumbledore,(NULL),C,0temu1619471480260.jpg,(NULL),(NULL),1,54381,0,(NULL),1,1
"TV, FILM AND BOOKS",NONE,JUNIOR,30,United Kingdom,"In Peppa Pig, what job does Granddad Dog have?",Mechanic,Teacher,Plumber,Train driver,(NULL),A,icFrW1619471710162.jpg,(NULL),(NULL),1,54393,0,(NULL),1,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",30,United Kingdom,What is the name of Marvel's first Afro-Latino Spiderman?,Peter parker,Miles Morales,Nick Parker,Nick Morales,(NULL),B,ldRaI1619471969394.jpg,(NULL),(NULL),1,54394,0,(NULL),1,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",30,United Kingdom,What is the name of the ghost Harry and his friends came across in Harry Potter and the Chamber of Secrets?,Devastated Dion,Crying Christine,Moaning Myrtle,Blubbering Barbara,(NULL),C,2ltnu1619472118551.jpg,(NULL),(NULL),1,54402,0,(NULL),1,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",30,United Kingdom,What is the name of Lilo's older sister in Disney's Lilo and Stitch?,Yuna,Nani,Mertle,Gantu,(NULL),B,pRwb41619472243048.jpg,(NULL),(NULL),1,54410,0,(NULL),1,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN,ADULT",30,United Kingdom,What animal guides Coraline through the other world in the 2009 film adaptation of Neil Gaiman's Coraline ?,A cat,A rabbit,A mouse,A dog,(NULL),A,4OGsZ1619472387167.jpg,(NULL),(NULL),1,54418,0,(NULL),1,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN,ADULT",30,United Kingdom,Who said the words above?,Rubeus Hagrid,Professor Severus Snape,Professor Minerva McGonagall,Albus Dumbledore,(NULL),D,PLIao1610907441568.jpg,(NULL),(NULL),1,54430,0,(NULL),1,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN,ADULT",30,United Kingdom,These two actors reprise their 1984 roles in which 2018 Netflix series?,Karate Guys,The Warrior,Cobra Kai,Iron Fist,(NULL),C,vDTt81610905133421.jpg,(NULL),(NULL),1,54442,0,(NULL),1,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN,ADULT",15,United Kingdom,With what movie franchise would you associate this vehicle?,The Fast and the Furious,Need for Speed,Cars,Transformers,(NULL),D,za4Us1610897564287.jpg,(NULL),(NULL),4,54454,0,(NULL),1,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN,ADULT",30,United Kingdom,In which Star Wars movie does Yoda die?,The Empire Strikes Back,Return of the Jedi,The Phantom Menace,The Rise of Skywalker,(NULL),B,lqXYw1610896543373.jpg,(NULL),(NULL),1,54466,0,(NULL),1,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN,ADULT",30,United Kingdom,What is this four-legged transport and combat vehicle used by the Imperial ground forces known as in Star Wars?,AT-AT walker,Dark Side Ranger,Jedi Transporter,Empire Vulcan,(NULL),A,jlge21610895490068.jpg,(NULL),(NULL),1,54478,0,(NULL),1,1
"TV, FILM AND BOOKS",NONE,TEEN,30,United Kingdom,In which Italian city is Shakespeare's play 'Romeo and Juliet' set?,Verona,Milan,Venice,Rome,(NULL),A,QC002179.jpg,,,1,54490,0,,1,1
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",30,United Kingdom,What is the name of the evil woman who wants to make a coat from dalmatians in 'The Hundred and One Dalmatians'?,Cruella de Vil,Maleficent,Evil Ursula,The Queen of Darkness,(NULL),A,XUvKU1619521150847.jpg,,,1,54494,0,,1,1
